pop1,pop2
1998.8233237938166,2499.161709712671
2011.005120902551,2507.366646229705
1981.2753255654723,2488.599956788984
2013.4132410970467,2512.888316397334
1989.1957157408422,2511.2825734126513
1988.616575110249,2506.4207593145998
1999.3245100519437,2498.3428733265214
1979.5926976124194,2493.411219194916
2007.9506051185217,2490.723885215563
2006.1876136110498,2499.6807499139304
1991.5630540722136,2484.5506806573703
2002.2983336506763,2484.4484196758062
2004.410813142705,2499.436234438041
1998.894993175521,2493.887617340475
1988.1380780119862,2491.619932120957
1986.0609685576605,2498.2046694240544
1989.8748909496508,2501.399832621993
2009.2825552475422,2509.2448473457307
1986.696469434461,2489.5741566082947
2007.6660136065989,2498.9233198270026
1989.8687720920864,2508.3572820971385
2002.1409229043982,2488.2337466943004
1987.9327070946683,2513.881369098204
2009.2188591980164,2504.9195026284688
2019.2282251957606,2506.7151504871013
2009.249009869951,2516.3159920530684
1996.406261571661,2502.0246717227437
2002.6230841867082,2509.3566657264996
2014.462427978862,2517.1276739284585
2002.9067442067585,2513.50113726633
2000.9028726058768,2498.493437017537
2011.0924118645964,2492.948306488931
2001.3586573353211,2488.53302854423
1992.0831230523843,2500.899745017303
1997.6387900977427,2463.754374742237
1996.9177061750852,2493.0929147874926
2020.3397105559036,2481.0844009146736
2004.4309302397337,2506.933074515297
1989.1506586213488,2519.6557212912026
1992.191144209797,2499.260066953625
1981.8265182188256,2507.5374272815297
2018.3900349073124,2484.2026332794376
2010.3878549674816,2498.5282278961336
1981.2865859647466,2485.22623483761
2009.193431927889,2499.988411342623
1980.4474844458216,2508.7671074082973
2000.757029449468,2518.0903212180046
1988.835787575566,2508.9860974380113
2012.1130325032561,2514.5766591974048
1999.6737706615604,2490.1141432116365
1990.9760786230286,2465.0433367403057
2007.2826605155412,2492.0722018282595
2010.0293799833912,2495.7801683525213
2009.0215919320635,2506.7873946501354
1988.493921300786,2492.1458671482314
1993.4312732078079,2503.646384681987
1995.8884534876186,2515.8911012975855
1995.2550634912498,2490.003847919345
2013.2391942159702,2503.217609981582
2013.4948194714589,2521.0266659274484
2001.8273729925356,2482.038589450672
1997.7411629082646,2487.0002553640043
2011.5154361254035,2487.7360316503195
1991.094611605573,2487.077085091173
1993.6299398969081,2519.1730443756933
1985.087380498145,2482.786986584903
2001.0997006357338,2501.9725537687823
2013.572165851743,2492.8490699028303
2001.015823174247,2479.105387221436
1994.171060538976,2484.3673055033264
2013.2953521286227,2514.070285304744
1988.071707495627,2481.776818402621
2009.3437952847191,2507.160314504245
2010.4156004667161,2489.3339813875987
2015.5244870726374,2502.107491940586
2006.4212204785106,2495.9519195399835
2006.6984087260191,2507.4104026459217
2010.4967497051937,2496.3425179077585
2005.3622430489277,2507.5497476191704
2019.8022966019316,2502.429903439398
1996.2723630346352,2503.0148552966593
1992.962067856082,2486.8100961510027
2009.0529493160109,2515.913115465914
2016.2684578122278,2516.883661244023
1985.8922706694193,2504.8797028152076
1983.3524301885889,2503.8694828396137
1993.428996097884,2504.5928086540735
1989.8887998356613,2496.9008548528705
1992.8982036510079,2526.1584883031387
2007.6657236258845,2518.0220102513777
2004.053103267874,2514.69827435251
2001.310267160496,2493.1786833546457
1987.4270712294026,2485.5266535226156
2012.7733101089718,2502.5723392741684
2000.557225939986,2490.4453060932738
1982.2333716041278,2514.2618759581437
2009.8998585855513,2508.5856624554945
2003.3923326795132,2523.0134427820203
2014.231621506877,2531.987347936988
2000.0619360926132,2519.9837655569313
2008.7889441748448,2492.4187242625876
1987.6814700314626,2492.763169703473
2008.6435249712536,2488.3969921518415
1986.272286986313,2499.3515883977957
2001.210758792234,2491.5967243108726
1992.722907877773,2522.656413771326
1998.674834216108,2506.5630155922813
1996.5525476335292,2516.493744878137
2018.2414812312827,2502.5812341456963
2006.186350833623,2484.4847021491823
1998.8983606802449,2501.1126854330687
1989.907135640397,2507.023015246438
1987.8471874272618,2483.0220675807304
2010.2551561921678,2497.0316337558666
2004.9659275219246,2508.740366645913
1994.6111246456207,2492.8350808817318
1979.4706264384267,2505.483575634833
1987.168089007556,2471.070016963989
2004.1069685289538,2501.0539812033035
2000.4423389384547,2490.6628121932567
2001.5809125413643,2498.344546839036
1992.0843809962207,2518.16696329706
2004.5669169913776,2481.7063659258047
1998.5682405043449,2493.8803743283916
2002.5859790514528,2515.421382809816
2001.4736743270303,2510.883897440337
2006.1141660538199,2491.530389530367
1991.5476475294922,2505.4816567400344
2016.9211660165552,2506.6176912775586
1992.4726117358357,2507.957354982824
